融资主体,count
北京蓝晶微生物科技有限公司,16
深圳市亚辉龙生物科技股份有限公司,15
蜂巢能源科技股份有限公司,15
深圳精智达技术股份有限公司,15
翱捷科技股份有限公司,14
芯来智融半导体科技（上海）有限公司,14
沐曦集成电路（上海）有限公司,14
深圳佑驾创新科技股份有限公司,13
合肥安德科铭半导体科技有限公司,13
深圳大普微电子科技有限公司,13
长鑫科技集团股份有限公司,13
卡奥斯物联科技股份有限公司,12
上海硅产业集团股份有限公司,12
江苏芯长征微电子集团股份有限公司,12
北京炎明生物科技有限公司,12
深圳佰维存储科技股份有限公司,12
华大半导体有限公司,12
中科寒武纪科技股份有限公司,11
青岛天仁微纳科技有限责任公司,11
思特威（上海）电子科技股份有限公司,11
中创新航科技集团股份有限公司,11
厦门海辰储能科技股份有限公司,11
南京宽能半导体有限公司,10
上海傅利叶智能科技有限公司,10
中伟新材料股份有限公司,10
摩尔线程智能科技（北京）有限责任公司,10
盛合晶微半导体（江阴）有限公司,10
北京奕斯伟计算技术股份有限公司,10
广东东岛新能源股份有限公司,10
南京维立志博生物科技有限公司,10
深圳市越疆科技股份有限公司,10
药捷安康（南京）科技股份有限公司,10
广州中科宇航探索技术有限公司,10
北京元年科技股份有限公司,10
北京乐自天成文化发展股份有限公司,10
中科时代（深圳）计算机系统有限公司,10
南京创芯慧联技术有限公司,10
驭势科技（北京）有限公司,10
合肥御微半导体技术有限公司,10
浙江太美医疗科技股份有限公司,10
京微齐力（北京）科技股份有限公司,10
山东英盛生物技术有限公司,10
荣昌生物制药（烟台）股份有限公司,10
深圳市奥伦德元器件有限公司,9
图湃（北京）医疗科技有限公司,9
北京锦篮基因科技有限公司,9
国家电投集团氢能科技发展有限公司,9
上海熙华检测技术服务股份有限公司,9
上海移芯通信科技股份有限公司,9
浙江零跑科技股份有限公司,9
上海瀚薪科技有限公司,9
江苏长晶科技股份有限公司,9
南京天洑软件有限公司,9
天津绿菱气体有限公司,9
北京翼辉信息技术有限公司,9
GalaxyCore Inc.,9
深圳联合飞机科技有限公司,9
北京士模微电子有限责任公司,9
深圳瑞思普利生物制药股份有限公司,9
苏州纳芯微电子股份有限公司,9
广州广钢气体能源股份有限公司,9
上海赛连信息科技有限公司,9
西安奕斯伟材料科技股份有限公司,9
商汤集团股份有限公司,9
邦彦技术股份有限公司,9
湖南进芯电子科技有限公司,9
新石器慧通（北京）科技有限公司,9
西安智多晶微电子有限公司,9
嘉思特医疗器材（天津）股份有限公司,9
浙江中科玖源新材料有限公司,9
锐石创芯（深圳）科技股份有限公司,9
天津爱思达航天科技股份有限公司,9
南京芯驰半导体科技有限公司,9
上海云轴信息科技有限公司,8
广东导远科技有限公司,8
北京多牛互动传媒股份有限公司,8
杭州杰毅生物技术有限公司,8
深圳市光舟半导体技术有限公司,8
理想汽车公司,8
中环领先半导体材料有限公司,8
河南科隆新能源股份有限公司,8
北京凌空天行科技有限责任公司,8
江苏厚生新能源科技有限公司,8
深圳北芯生命科技股份有限公司,8
润鹏半导体（深圳）有限公司,8
上海百心安生物技术股份有限公司,8
比亚迪半导体股份有限公司,8
奥比中光科技集团股份有限公司,8
深圳市锐思华创技术有限公司,8
上海瞻芯电子科技有限公司,8
深圳普门科技股份有限公司,8
维视艾康特（广东）医疗科技股份有限公司,8
南京百识电子科技有限公司,8
深圳店小秘网络科技有限公司,8
鑫精合激光科技发展（北京）有限公司,8
杰华特微电子股份有限公司,8
深圳竹芒科技有限公司,8
山东山大华天软件有限公司,8
深圳市精锋医疗科技股份有限公司,8
苏州熹联光芯微电子科技有限公司,8
辰瑞光学（常州）股份有限公司,8
先导电子科技股份有限公司,8
江苏先科半导体新材料有限公司,8
亚信安全科技股份有限公司,8
深圳锐视智芯科技有限公司,8
东方晶源微电子科技（北京）股份有限公司,8
北京中科富海低温科技有限公司,8
欣旺达动力科技股份有限公司,8
高景太阳能股份有限公司,8
河北同光半导体股份有限公司,8
上海纽脉医疗科技股份有限公司,8
深圳市速腾聚创科技有限公司,8
广东捷盟智能装备有限公司,8
上海汇禾医疗科技股份有限公司,8
杭州索元生物医药股份有限公司,8
北京中科闻歌科技股份有限公司,8
广汽埃安新能源汽车股份有限公司,8
上海芯旺微电子技术股份有限公司,8
广东蘑菇物联科技有限公司,8
元化智能科技（深圳）有限公司,8
上海倍谙基生物科技有限公司,8
微泰医疗器械（杭州）股份有限公司,8
广东纳睿雷达科技股份有限公司,8
上海泽丰半导体科技有限公司,8
珠海冠宇电池股份有限公司,8
深圳市联新移动医疗科技有限公司,8
上海壁仞智能科技有限公司,8
归创通桥医疗科技股份有限公司,8
北京第四范式智能技术股份有限公司,8
科凯（南通）生命科学有限公司,8
北京瑞莱智慧科技有限公司,8
深圳尚阳通科技股份有限公司,7
知行汽车科技（苏州）股份有限公司,7
安徽中技国医医疗科技有限公司,7
上海联影医疗科技股份有限公司,7
上海圣治光电科技有限公司,7
湖北融通高科先进材料集团股份有限公司,7
金禄电子科技股份有限公司,7
江苏鲁汶仪器股份有限公司,7
本源量子计算科技（合肥）股份有限公司,7
上海超硅半导体股份有限公司,7
深圳市航顺芯片技术研发有限公司,7
深圳市创芯微微电子股份有限公司,7
河北金力新能源科技股份有限公司,7
苏州瑞博生物技术股份有限公司,7
南京宏泰半导体科技股份有限公司,7
陕西莱特光电材料股份有限公司,7
杭州峰宇合创科技有限公司,7
深圳市原力生命科学有限公司,7
上海擎朗智能科技有限公司,7
凌科药业（杭州）有限公司,7
上海南芯半导体科技股份有限公司,7
高频（北京）科技股份有限公司,7
北京适创科技有限公司,7
上海皓元医药股份有限公司,7
东莞市本末科技有限公司,7
深圳市泛海统联精密制造股份有限公司,7
