农副食品加工业 13.60% 7.54% 0.67% 1.87% 3.52% 86.40%
食品制造业 15.56% 8.38% 0.37% 3.51% 3.30% 84.44%
酒、饮料和精制茶制造业 12.65% 6.62% 0.30% 3.02% 2.71% 87.35%
烟草制品业 5.58% 2.90% 1.22% 0.37% 1.10% 94.42%
纺织业 14.12% 8.01% 0.18% 3.36% 2.57% 85.88%
纺织服装、服饰业 13.68% 5.97% 0.40% 4.62% 2.69% 86.32%
造纸和纸制品业 20.83% 13.58% 0.27% 4.63% 2.35% 79.17%
石油加工、炼焦和核燃料加工业 23.41% 17.40% 1.81% 1.44% 2.76% 76.59%
化学原料和化学制品制造业 20.36% 14.18% 0.38% 3.35% 2.44% 79.64%
医药制造业 14.00% 8.15% 0.39% 2.65% 2.82% 86.00%
化学纤维制造业 22.95% 16.24% 0.08% 4.48% 2.15% 77.05%
非金属矿物制品业 13.69% 8.45% 0.26% 1.59% 3.38% 86.31%
黑色金属冶炼和压延加工业 14.80% 11.24% 0.37% 1.13% 1.63% 85.20%
有色金属冶炼和压延加工业 18.37% 13.43% 0.49% 1.75% 2.70% 81.63%
金属制品业 12.24% 7.51% 0.19% 2.32% 2.22% 87.76%
通用设备制造业 12.72% 7.56% 0.39% 2.51% 2.24% 87.28%
专用设备制造业 13.71% 8.00% 0.70% 2.65% 2.37% 86.29%
交通运输设备制造业 15.38% 8.94% 0.78% 3.30% 2.35% 84.62%
电气机械和器材制造业 16.11% 9.49% 0.33% 4.22% 2.06% 83.89%
计算机、通信和其他电子设备制造业 30.41% 13.08% 0.92% 13.02% 3.40% 69.59%
仪器仪表制造业 15.96% 6.18% 0.80% 6.05% 2.94% 84.04%
平均值 16.20% 9.66% 0.54% 3.42% 2.56% 83.80%
