投资方,投资方全称,机构名称,机构全称,上级机构,上级机构全称,基金名称,基金全称,企业,融资主体,企业标签,行业(清科),地区,投资类型,投资阶段,投资时间,投资币种,投资金额(M),投资金额(RMB/M),投资金额(USD/M),股权%,轮次,投资人,企业估值(RMB/M),企业估值(USD/M),P/E,行业(国标),行业(证监会),上市交易所,数据来源文件,treatment,投资年份,省份,一级行业,二级行业,FC平均值,KZ平均值,SA平均值,WW平均值,group
西高投【西安高新区战略性新兴产业引导基金】,西安高新技术产业风险投资有限责任公司【西安高新新兴产业投资基金合伙企业（有限合伙）】,西高投,西安高新技术产业风险投资有限责任公司,--,--,西安高新区战略性新兴产业引导基金,西安高新新兴产业投资基金合伙企业（有限合伙）,华晨石油,陕西华晨石油科技有限公司,企业服务，石油,能源及矿产|石油和天然气开采,中国|陕西省|西安市,创业投资,成熟期,2019-03-01,RMB,3.00,3.00,0.42,--,A,张念,--,--,--,采矿业|石油和天然气开采业,采掘业|石油和天然气开采业,--,2019.xls,1,2019,陕西省,采矿业,石油和天然气开采业,0.1625437333333333,1.0532266,-3.2141527714285716,-1.0819587714285714,a
海达联石创投【兴石创投基金】,天津海达联石创业投资管理有限公司【河北兴石创业投资有限公司】,海达联石创投,天津海达联石创业投资管理有限公司,--,--,兴石创投基金,河北兴石创业投资有限公司,海王星,天津市海王星海上工程技术股份有限公司,生产制造，海洋工程，企业服务,能源及矿产|石油和天然气开采,中国|天津市,--,成熟期,2013-08-27,RMB,29.97,29.97,4.86,6.00,A,--,499.50,80.98,--,采矿业|石油和天然气开采业,采掘业|石油和天然气开采业,全国中小企业股份转让系统(新三板),2013-2014.xls,1,2013,天津市,采矿业,石油和天然气开采业,0.1625437333333333,1.0532266,-3.2141527714285716,-1.0819587714285714,a
国联基金【北京国联能源产业投资基金】,国联产业投资基金管理（北京）有限公司【北京国联能源产业投资基金（有限合伙）】,国联基金,国联产业投资基金管理（北京）有限公司,--,--,北京国联能源产业投资基金,北京国联能源产业投资基金（有限合伙）,长宁天然气,四川长宁天然气开发有限责任公司,天然气，油气,能源及矿产|石油和天然气开采,中国|四川省|宜宾市,--,种子期,2013-09-05,RMB,--,--,--,5.00,A,--,--,--,--,采矿业|石油和天然气开采业,采掘业|石油和天然气开采业,--,2013-2014.xls,0,2013,四川省,采矿业,石油和天然气开采业,0.1625437333333333,1.0532266,-3.2141527714285716,-1.0819587714285714,a
正赛联资本【正赛联基金】,上海正赛联创业投资管理有限公司【上海正赛联创业投资有限公司】,正赛联资本,上海正赛联创业投资管理有限公司,--,--,正赛联基金,上海正赛联创业投资有限公司,沃金,上海沃金石油天然气有限公司,石油，化工，天然气，油气，能源矿产,能源及矿产|石油和天然气开采,中国|上海市|浦东新区,--,扩张期,2011-12-19,RMB,35.00,35.00,5.53,--,B,--,--,--,--,采矿业|石油和天然气开采业,采掘业|石油和天然气开采业,--,2000-2012.xls,0,2011,上海市,采矿业,石油和天然气开采业,0.1625437333333333,1.0532266,-3.2141527714285716,-1.0819587714285714,a
海南发控【海南新创工业信息产业投资基金】,海南省发展控股有限公司【海南新创工业信息产业投资基金合伙企业（有限合伙）】,海控资本,海南海控资本创业投资有限公司,海南发控,海南省发展控股有限公司,海南新创工业信息产业投资基金,海南新创工业信息产业投资基金合伙企业（有限合伙）,汉地流体,海南汉地流体材料有限公司,材料，咨询服务,能源及矿产|石油和天然气开采,中国|海南省,创业投资,扩张期,2020-09-30,RMB,--,--,--,12.32,A,--,--,--,--,采矿业|石油和天然气开采业,采掘业|石油和天然气开采业,--,2020.xls,1,2020,海南省,采矿业,石油和天然气开采业,0.1625437333333333,1.0532266,-3.2141527714285716,-1.0819587714285714,a
陕投基金【陕西省民营经济高质量发展纾困基金】,陕西投资基金管理有限公司【陕西省民营经济高质量发展纾困基金合伙企业（有限合伙）】,陕投基金,陕西投资基金管理有限公司,--,--,陕西省民营经济高质量发展纾困基金,陕西省民营经济高质量发展纾困基金合伙企业（有限合伙）,通源石油,通源石油科技集团股份有限公司,石油，油气，石油开采，生产制造,能源及矿产|石油和天然气开采,中国|陕西省|西安市,上市定增,成熟期,2020-02-03,RMB,121.00,121.00,18.45,4.89,上市定增,张金峰,"2,475.33",359.39,--,采矿业|石油和天然气开采业,采掘业|石油和天然气开采业,深圳证券交易所创业板,2020.xls,0,2020,陕西省,采矿业,石油和天然气开采业,0.1625437333333333,1.0532266,-3.2141527714285716,-1.0819587714285714,a
力鼎资本【力鼎富盛基金】,上海力鼎投资管理有限公司【北京力鼎富盛创业投资有限公司】,力鼎君安,北京力鼎君安投资管理有限公司,力鼎资本,上海力鼎投资管理有限公司,力鼎富盛基金,北京力鼎富盛创业投资有限公司,波特光盛石油,北京波特光盛石油技术有限公司,生产制造，石油，西洋乐器制造,能源及矿产|石油和天然气开采,中国|北京市,--,扩张期,2014-12-19,--,--,--,--,--,D,--,--,--,--,采矿业|石油和天然气开采业,采掘业|石油和天然气开采业,--,2013-2014.xls,0,2014,北京市,采矿业,石油和天然气开采业,0.1625437333333333,1.0532266,-3.2141527714285716,-1.0819587714285714,a
中和资本【海河中和基金】,锦绣中和（北京）资本管理有限公司【天津圣金海河中和股权投资基金合伙企业（有限合伙）】,长和投资,长和（天津）投资管理有限公司,中和资本,锦绣中和（北京）资本管理有限公司,海河中和基金,天津圣金海河中和股权投资基金合伙企业（有限合伙）,博迈科,博迈科海洋工程股份有限公司,企业服务，天然气,能源及矿产|石油和天然气开采,中国|天津市|滨海新区,上市定增,成熟期,2021-07-20,RMB,30.00,30.00,4.63,0.71,上市定增,--,"4,220.54",650.77,32.07,采矿业|石油和天然气开采业,采掘业|石油和天然气开采业,上海证券交易所主板,2021.xls,0,2021,天津市,采矿业,石油和天然气开采业,0.1625437333333333,1.0532266,-3.2141527714285716,-1.0819587714285714,a
国投创新【先进制造产业投资基金】,国投创新投资管理有限公司【先进制造产业投资基金（有限合伙）】,国投创新,国投创新投资管理有限公司,--,--,先进制造产业投资基金,先进制造产业投资基金（有限合伙）,中集来福士,烟台中集来福士海洋工程有限公司,生产制造，海洋工程,能源及矿产|冶炼/加工,中国|山东省|烟台市|芝罘区,--,成熟期,2016-03-01,--,--,--,--,--,B,--,--,--,--,制造业|黑色金属冶炼及压延加工业|钢压延加工,制造业|金属、非金属|黑色金属冶炼及压延加工业|钢压延加工业,--,2016.xls,1,2016,山东省,制造业,黑色金属冶炼及压延加工业,0.1717120768115942,2.6142295884057973,-3.6098523289855073,-1.065629095652174,a
誉华投资【安徽省创投资本基金】,安徽誉华投资管理有限公司【安徽省创投资本基金有限公司】,誉华投资,安徽誉华投资管理有限公司,--,--,安徽省创投资本基金,安徽省创投资本基金有限公司,波林新材料,合肥波林新材料股份有限公司,新材料，生产制造，材料,能源及矿产|冶炼/加工,中国|安徽省|合肥市,--,成熟期,2010-12-28,RMB,36.00,36.00,5.43,--,A,--,--,--,--,制造业|黑色金属冶炼及压延加工业,制造业|金属、非金属|黑色金属冶炼及压延加工业|炼铁业,--,2000-2012.xls,0,2010,安徽省,制造业,黑色金属冶炼及压延加工业,0.1717120768115942,2.6142295884057973,-3.6098523289855073,-1.065629095652174,a
