,company,year,treatment,post,treatment_post,year_offset,patent_count,citation_count,invention_count,invention_citation,二产就业比例,GDP,城镇化率,固定资产投资,省份_云南省,省份_内蒙古,省份_北京市,省份_吉林省,省份_四川省,省份_天津市,省份_宁夏,省份_安徽省,省份_山东省,省份_山西省,省份_广东省,省份_广西,省份_新疆,省份_江苏省,省份_江西省,省份_河北省,省份_河南省,省份_浙江省,省份_海南省,省份_湖北省,省份_湖南省,省份_甘肃省,省份_福建省,省份_贵州省,省份_辽宁省,省份_重庆市,省份_陕西省,省份_青海省,省份_黑龙江省,stage_成熟期,stage_扩张期,stage_种子期,原省份,lnGDP,lnFixedInvestment,stage,region_东部,region_中部,region_西部,国资背景
0,天津实发中科百奥工业生物技术有限公司,2003,1,0,0,-3,0,0,0,0,40.0,2578.03,73.866,1039.39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,天津市,7.85516863822935,6.94735092184049,种子期,1,0,0,是
1,天津实发中科百奥工业生物技术有限公司,2004,1,0,0,-2,0,0,0,0,40.1155,3110.97,74.488,1245.66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,天津市,8.04301124514899,7.12822325413259,种子期,1,0,0,是
2,天津实发中科百奥工业生物技术有限公司,2005,1,0,0,-1,0,0,0,0,40.5963,3905.64,75.11,1495.1431,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,天津市,8.27043294850103,7.31064580903998,种子期,1,0,0,是
3,天津实发中科百奥工业生物技术有限公司,2007,1,1,1,1,0,0,0,0,41.8914,5252.76,76.31,2353.1494,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,天津市,8.56669928971985,7.76393475224641,种子期,1,0,0,是
4,天津实发中科百奥工业生物技术有限公司,2008,1,1,1,2,5,19,3,19,40.5271,6719.01,77.23,3389.7939,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,天津市,8.81284492161133,8.12881936174714,种子期,1,0,0,是
5,天津实发中科百奥工业生物技术有限公司,2009,1,1,1,3,11,39,7,37,41.2772,7521.85,78.01,4738.2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,天津市,8.92570033450726,8.46362402498495,种子期,1,0,0,是
6,中化资本有限公司,2003,1,0,0,-3,0,0,0,0,41.0,6694.23,88.778,2499.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,上海市,8.80915061153071,7.82410200928835,种子期,1,0,0,是
7,中化资本有限公司,2004,1,0,0,-2,0,0,0,0,39.5138,8072.83,88.934,3050.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,上海市,8.99638324595218,8.02331317637639,种子期,1,0,0,是
8,中化资本有限公司,2005,1,0,0,-1,0,0,0,0,38.7093,9247.66,89.09,3509.6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,上海市,9.13223395514768,8.16355822206889,种子期,1,0,0,是
9,中化资本有限公司,2007,1,1,1,1,0,0,0,0,39.7599,12494.01,88.7,4420.3747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,上海市,9.43308464358886,8.39420594481519,种子期,1,0,0,是
10,中化资本有限公司,2008,1,1,1,2,0,0,0,0,39.3016,14069.86,88.6,4823.1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,上海市,9.55186127119715,8.48138937641197,种子期,1,0,0,是
11,中化资本有限公司,2009,1,1,1,3,0,0,0,0,37.391,15046.45,88.6,5043.7528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,上海市,9.61896382060531,8.5261039325783,种子期,1,0,0,是
12,芜湖悠派护理用品科技股份有限公司,2003,1,0,0,-3,0,0,0,0,19.5,3923.1,32.0,1418.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,安徽省,8.27489230456033,7.25819381690309,种子期,0,1,0,否
13,芜湖悠派护理用品科技股份有限公司,2004,1,0,0,-2,0,0,0,0,20.4,4759.32,33.5,1935.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,安徽省,8.4680701718566,7.56850839173108,种子期,0,1,0,否
14,芜湖悠派护理用品科技股份有限公司,2005,1,0,0,-1,0,0,0,0,21.4,5350.17,35.5,2525.1056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,安徽省,8.58507050756932,7.83443410726228,种子期,0,1,0,否
15,芜湖悠派护理用品科技股份有限公司,2007,1,1,1,1,0,0,0,0,23.7,7360.92,38.7,5087.53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,安徽省,8.90407604726759,8.53474426626165,种子期,0,1,0,否
16,芜湖悠派护理用品科技股份有限公司,2008,1,1,1,2,0,0,0,0,24.7,8851.66,40.5,6746.9586,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,安徽省,9.08847325781312,8.81699530849588,种子期,0,1,0,否
17,芜湖悠派护理用品科技股份有限公司,2009,1,1,1,3,0,0,0,0,25.0,10062.82,42.1,8990.727,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,安徽省,9.21670209324768,9.1040602113523,种子期,0,1,0,否
18,广东晶科电子股份有限公司,2003,1,0,0,-3,0,0,0,0,35.4,15844.64,58.408,4813.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,广东省,9.67064966259994,8.47932516297234,成熟期,1,0,0,否
19,广东晶科电子股份有限公司,2004,1,0,0,-2,0,0,0,0,36.9,18864.62,59.544,5870.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,广东省,9.84509649695245,8.67778366263307,成熟期,1,0,0,否
20,广东晶科电子股份有限公司,2005,1,0,0,-1,0,0,0,0,38.1,22557.37,60.68,6977.9265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,广东省,10.0238614512287,8.85065038736691,成熟期,1,0,0,否
21,广东晶科电子股份有限公司,2007,1,1,1,1,0,0,0,0,39.4,31777.01,63.14,9294.2635,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,广东省,10.3665298201314,9.13726024832823,成熟期,1,0,0,否
22,广东晶科电子股份有限公司,2008,1,1,1,2,0,0,0,0,39.7,36796.71,63.37,10868.6726,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,广东省,10.5131908939599,9.29373186006644,成熟期,1,0,0,否
23,广东晶科电子股份有限公司,2009,1,1,1,3,0,0,0,0,40.3,39482.56,63.4,12933.1217,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,广东省,10.5836396617213,9.46762419127107,成熟期,1,0,0,否
24,江苏高和智能装备股份有限公司,2004,1,0,0,-3,0,0,0,0,36.0,15003.6,47.6,6557.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,江苏省,9.6161120997384,8.78844858165122,种子期,1,0,0,否
25,江苏高和智能装备股份有限公司,2005,1,0,0,-2,0,0,0,0,37.2,18598.69,50.5,8165.3793,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,江苏省,9.83090019289573,9.0077809194905,种子期,1,0,0,否
26,江苏高和智能装备股份有限公司,2006,1,0,0,-1,0,0,0,0,38.4,21742.05,51.9,10069.223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,江苏省,9.98704944522309,9.21733813045252,种子期,1,0,0,否
27,江苏高和智能装备股份有限公司,2008,1,1,1,1,0,0,0,0,40.2,30981.98,54.3,15300.5502,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,江苏省,10.3411933004358,9.63570942250941,种子期,1,0,0,否
28,江苏高和智能装备股份有限公司,2009,1,1,1,2,0,0,0,0,41.1,34457.3,55.6,18949.8746,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,江苏省,10.4475051763055,9.84960536247985,种子期,1,0,0,否
29,江苏高和智能装备股份有限公司,2010,1,1,1,3,0,0,0,0,42.3,41425.48,60.58,23184.2827,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,江苏省,10.6316755688744,10.0512729899796,种子期,1,0,0,否
30,广东睿江云计算股份有限公司,2004,1,0,0,-3,0,0,0,0,36.9,18864.62,59.544,5870.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,广东省,9.84509649695245,8.67778366263307,种子期,1,0,0,是
31,广东睿江云计算股份有限公司,2005,1,0,0,-2,0,0,0,0,38.1,22557.37,60.68,6977.9265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,广东省,10.0238614512287,8.85065038736691,种子期,1,0,0,是
32,广东睿江云计算股份有限公司,2006,1,0,0,-1,0,0,0,0,38.9,26587.76,63.0,7973.3691,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,广东省,10.1882438490767,8.98398781480584,种子期,1,0,0,是
33,广东睿江云计算股份有限公司,2008,1,1,1,1,0,0,0,0,39.7,36796.71,63.37,10868.6726,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,广东省,10.5131908939599,9.29373186006644,种子期,1,0,0,是
34,广东睿江云计算股份有限公司,2009,1,1,1,2,0,0,0,0,40.3,39482.56,63.4,12933.1217,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,广东省,10.5836396617213,9.46762419127107,种子期,1,0,0,是
35,广东睿江云计算股份有限公司,2010,1,1,1,3,0,0,0,0,42.4,46013.06,66.18,15623.6976,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,广东省,10.736702280943,9.65660812081732,种子期,1,0,0,是
36,广东省金稻种业有限公司,2004,1,0,0,-3,0,0,0,0,36.9,18864.62,59.544,5870.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,广东省,9.84509649695245,8.67778366263307,扩张期,1,0,0,是
37,广东省金稻种业有限公司,2005,1,0,0,-2,0,0,0,0,38.1,22557.37,60.68,6977.9265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,广东省,10.0238614512287,8.85065038736691,扩张期,1,0,0,是
