Model,Variable,Coefficient,Std_Error,T_Statistic,P_Value
(1),GVC,-0.25811793982918657,1.1856299835066382,-0.21770530723740034,0.8278107802058909
(1),RO,-0.2011658102517512,0.30083550561523337,-0.668690385599102,0.5042212827369308
(1),IFA,1.193663802228954,5.910323819818648,0.20196250469836025,0.8400866680600112
(1),DI,-0.5678516844443584,0.6163147671727445,-0.9213663450728213,0.35761979325392534
(1),UL,0.11456375244000722,0.3927822646851543,0.2916724168588391,0.770744200221428
(1),FIL,3.3048343249708547,5.848789183593546,0.5650458960362692,0.5724763988906623
(1),FDL,19.848240073135017,12.22083296654066,1.624131524215852,0.10542667930122862
(1),RL,-3.557348948455902,2.9756668748208996,-1.19547956747343,0.2328696804396313
(2),GVC,-0.24191421500895288,1.1825853851491175,-0.20456384633778374,0.8380549299899691
(2),RO,-0.17961778475977389,0.3002733402923213,-0.5981809260353013,0.550181315643846
(2),IFA,0.36429180851319143,5.89947638148055,0.06174985455603564,0.9508041379366134
(2),DI,-0.48740129330762477,0.6155328611481963,-0.7918363487506438,0.4290966866589905
(2),UL,0.08261992314671968,0.39176100413539144,0.21089368843399858,0.8331168260878989
(2),FIL,2.9564250548969797,5.840358602406121,0.5062060835920223,0.6130926470652063
(2),FDL,19.012487907604964,12.184804184273704,1.5603441483403893,0.11975800412871074
(2),RL,,,,
(3),GVC,-0.23214885113836903,1.191395366134941,-0.19485458625837493,0.8456413711783803
(3),RO,-0.18277732078800166,0.29974710599396104,-0.6097717613716812,0.5424839900929292
(3),IFA,0.46337526958640385,5.927695722263999,0.0781712306598329,0.9377450221671402
(3),DI,-0.40254104737378676,0.6052255929442555,-0.6651090966188916,0.5065021186038345
(3),UL,0.09596220963871417,0.39071919109224484,0.2456040343717298,0.8061601274011019
(3),FIL,2.5531551241337693,5.868345671925873,0.4350723810200968,0.663829088714762
(3),FDL,,,,
(3),RL,,,,
(4),GVC,-0.22422743764299805,1.1943193062955884,-0.18774496607484534,0.8512056497420191
(4),RO,-0.17291459727688216,0.30041795721056447,-0.5755800980821044,0.5653378220618386
(4),IFA,0.6317916815149801,5.925915601433188,0.10661503200656126,0.9151668581340591
(4),DI,-0.4173553345235875,0.6076192443657147,-0.6868698422467823,0.49270433137603886
(4),UL,0.09500863776742206,0.38995295432547156,0.24364128214329095,0.8076779969968906
(4),FIL,,,,
(4),FDL,,,,
(4),RL,,,,
(5),GVC,-0.22426367292938781,1.1928507708204334,-0.18800647861017938,0.8510003923441447
(5),RO,-0.17270481472289814,0.2996979957798267,-0.5762628284300434,0.5648754529432898
(5),IFA,0.5404002387618776,5.876939284324982,0.09195266662074207,0.9267978464194513
(5),DI,-0.4117671700248962,0.6044272980424394,-0.6812517756204721,0.49624480980098573
(5),UL,,,,
(5),FIL,,,,
(5),FDL,,,,
(5),RL,,,,
(6),GVC,-0.16830634671433387,1.189936200740657,-0.14144148787941255,0.8876170709716702
(6),RO,-0.18120165564224977,0.2987234979697183,-0.6065865486772595,0.5445887071446993
(6),IFA,0.2414556482854188,5.790070008381821,0.04170168027949279,0.96676453460137
(6),DI,,,,
(6),UL,,,,
(6),FIL,,,,
(6),FDL,,,,
(6),RL,,,,
(7),GVC,-0.162043569019964,1.1832938736883214,-0.13694279385971547,0.8911684857382409
(7),RO,-0.18229864341792232,0.2970919575463698,-0.6136101593711749,0.5399410544732506
(7),IFA,,,,
(7),DI,,,,
(7),UL,,,,
(7),FIL,,,,
(7),FDL,,,,
(7),RL,,,,
(8),GVC,-0.10361896007882981,1.1812794843253982,-0.0877175651095001,0.9301598763521619
(8),RO,,,,
(8),IFA,,,,
(8),DI,,,,
(8),UL,,,,
(8),FIL,,,,
(8),FDL,,,,
(8),RL,,,,
