省份,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,总计
上海市,0,0,0,1,2,2,2,0,0,5,4,6,5,6,7,13,29,29,46,45,77,112,391
云南省,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,5,7,4,9,5,3,38
内蒙古,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,3,5,3,7,2,30
北京市,0,0,2,2,0,1,0,2,2,1,1,12,6,18,11,21,43,64,85,66,94,148,579
吉林省,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,1,5,4,2,5,2,27
四川省,1,1,2,0,0,0,0,0,1,0,0,1,1,0,5,3,6,21,24,43,35,58,202
天津市,0,1,3,3,4,2,1,0,0,5,1,0,1,6,2,7,4,8,5,2,7,6,68
宁夏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,8,2,0,14
安徽省,0,0,1,1,0,0,1,1,0,0,1,2,4,2,1,1,14,23,46,35,76,85,294
山东省,0,0,1,3,0,0,0,0,0,1,2,3,1,5,1,13,5,23,15,17,21,25,136
山西省,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,2,8,13,11,3,7,53
广东省,0,1,0,3,0,1,1,3,1,2,4,5,15,15,17,33,44,68,66,51,79,122,531
广西,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,2,1,4,3,9,25
新疆,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,9,5,1,2,1,24
江苏省,1,2,4,2,3,0,0,3,1,3,7,5,13,34,19,33,42,68,52,63,110,143,608
江西省,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,7,4,4,2,18,39
河北省,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,4,6,17,7,8,11,17,75
河南省,0,2,2,1,0,0,0,0,0,1,4,1,2,0,2,3,23,39,14,23,38,51,206
浙江省,1,0,0,0,1,0,0,1,2,0,2,1,8,1,4,7,21,21,40,47,50,65,272
海南省,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,6,25,20,3,6,2,67
湖北省,1,0,0,1,1,0,0,0,0,1,0,1,1,9,8,11,8,16,13,18,15,22,126
湖南省,0,0,1,0,1,0,1,1,0,0,0,1,4,5,3,6,9,5,9,5,18,21,90
甘肃省,0,1,1,0,0,0,0,0,0,1,0,1,2,5,2,10,7,18,12,16,16,2,94
福建省,0,0,0,0,0,0,0,0,1,1,1,3,3,1,5,8,14,14,13,13,12,22,111
西藏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
贵州省,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,11,13,10,48,31,125,253
辽宁省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,4,4,4,4,28
重庆市,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,6,6,7,5,8,11,48
陕西省,1,1,1,0,1,0,0,1,0,2,2,2,1,7,12,14,24,25,19,39,32,28,212
青海省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,3,13
香港,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4
黑龙江省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,5,13,5,32
总计,6,9,19,17,14,8,7,13,8,25,32,51,74,118,113,210,351,556,551,605,784,1120,4691
